## Pediatric RMS clinical trials drug map (auto-generated; do NOT hand-edit)
## Source: https://clinicaltrials.gov/api/v2/studies
## Condition query: rhabdomyosarcoma
## Generated: 2026-04-25 23:25 UTC
## Studies scanned: 374
## Drug rows: 310
## Schema: drug\tn_rms_trials\tmax_phase_in_rms\tany_recruiting\tany_pediatric\texample_nct\texample_title
##
## Phase 4 reads this file (when present) and upgrades pediatric_evidence to
## 'yes_trial' for any drug appearing here with any_pediatric=1, unless its
## existing pediatric_evidence is already 'yes_approved' (which outranks).
## To regenerate: bin/fetch_clinicaltrials.py
drug	n_rms_trials	max_phase_in_rms	any_recruiting	any_pediatric	example_nct	example_title
itraconazole	2	NA	0	1	NCT00079222	Voriconazole Compared With Itraconazole in Preventing Fungal Infections in Patients Undergoing Allogeneic Hematopoietic 
ivosidenib	2	PHASE2	1	1	NCT04195555	Ivosidenib in Treating Patients With Advanced Solid Tumors, Lymphoma, or Histiocytic Disorders With IDH1 Mutations (A Pe
ixabepilone	2	PHASE2	0	1	NCT00331643	Ixabepilone in Treating Young Patients With Refractory Solid Tumors
larotrectinib sulfate	2	PHASE2	1	1	NCT03213704	Larotrectinib in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocyt
lyso-thermosensitive liposomal doxorubicin	2	PHASE2	0	1	NCT02536183	A Phase I Study of Lyso-thermosensitive Liposomal Doxorubicin and MR-HIFU for Pediatric Refractory Solid Tumors
mycophenolate mofetil	2	PHASE3	0	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
myeloid growth factor	2	PHASE2	1	1	NCT02390843	Simvastatin With Topotecan and Cyclophosphamide in Relapsed and/or Refractory Pediatric Solid and CNS Tumors
oxaliplatin	2	PHASE2	0	1	NCT00101270	Oxaliplatin and Irinotecan in Treating Young Patients With Refractory Solid Tumors or Lymphomas
pazopanib hydrochloride	2	PHASE3	1	1	NCT02180867	Radiation Therapy With or Without Combination Chemotherapy or Pazopanib Before Surgery in Treating Patients With Newly D
peel-224	2	PHASE2	1	1	NCT06721689	PEEL-224, Vincristine and Temozolomide in Pediatric Solid Tumors
prednisone	2	PHASE2	0	1	NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas
recombinant human thrombopoietin	2	PHASE2	0	1	NCT00187109	Recombinant Human Thrombopoietin in Children Receiving Ifosfamide, Carboplatin, and Etoposide Chemotherapy
regorafenib	2	PHASE2	1	1	NCT02048371	SARC024: A Blanket Protocol to Study Oral Regorafenib in Patients With Selected Sarcoma Subtypes
ribociclib	2	PHASE1	0	1	NCT05429502	Study of Efficacy and Safety of Ribociclib (LEE011) in Combination With Topotecan and Temozolomide (TOTEM) in Pediatric 
samotolisib	2	PHASE2	1	1	NCT03155620	Targeted Therapy Directed by Genetic Testing in Treating Pediatric Patients With Relapsed or Refractory Advanced Solid T
sc-car.gpc3xil15.21 car t cells	2	PHASE1	1	1	NCT07148050	Immunotherapy for Solid Tumor Malignancies in Pediatrics Using Interleukin-15 and -21 Armored Glypican-3-specific Chimer
selpercatinib	2	PHASE2	1	1	NCT04320888	Selpercatinib for the Treatment of Advanced Solid Tumors, Lymphomas, or Histiocytic Disorders With Activating RET Gene A
sorafenib	2	PHASE2	1	1	NCT01518413	Dose Escalation Study of Sorafenib and Irinotecan Combination Therapy in Pediatric Patients With Solid Tumors
